Kind,Date,EntryTime,Strike,OptionType,Signal,Confidence,EntrySpot,EntryPremium,TargetNifty,SLNifty,EstHoldMin,ExitTime,ExitSpot,ExitPremium,ExitReason,HoldMin,PnLSpotPct,PnLPremiumPct,PnLRupees,RollingSig,DirectionSig,CrossAssetSig
OPEN,2026-04-28,09:00:41,24050,PE,BUY PE,38.7,24092.70,60.50,24055.0,24112.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,09:08:41,24000,PE,BUY PE,37.9,24049.90,44.00,24006.0,24072.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,09:00:41,24050,PE,BUY PE,38.7,24092.70,60.50,24055.0,24112.0,9.0,09:08:41,24049.90,60.50,TARGET,8.0,0.18,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,09:16:41,24100,PE,BUY PE,46.5,24075.65,126.10,24023.0,24102.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,NO TRADE
EXIT,2026-04-28,09:08:41,24000,PE,BUY PE,37.9,24049.90,44.00,24006.0,24072.0,9.0,09:16:41,24075.65,62.75,SL,8.0,-0.11,42.61,1219,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,09:17:41,24050,PE,BUY PE,46.7,24073.05,91.70,24025.0,24097.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,NO TRADE
EXIT,2026-04-28,09:16:41,24100,PE,BUY PE,46.5,24075.65,126.10,24023.0,24102.0,9.0,09:20:41,24102.75,83.15,SL,4.0,-0.11,-34.06,-2792,BUY PE,BUY PE,NO TRADE
EXIT,2026-04-28,09:17:41,24050,PE,BUY PE,46.7,24073.05,91.70,24025.0,24097.0,9.0,09:20:41,24102.75,53.80,SL,3.0,-0.12,-41.33,-2464,BUY PE,BUY PE,NO TRADE
OPEN,2026-04-28,09:21:41,24100,PE,BUY PE,47.9,24089.45,59.35,24042.0,24113.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,09:26:41,24150,PE,BUY PE,47.0,24127.10,89.90,24077.0,24152.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,09:21:41,24100,PE,BUY PE,47.9,24089.45,59.35,24042.0,24113.0,9.0,09:26:41,24127.10,60.55,SL,5.0,-0.16,2.02,78,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,09:27:41,24100,PE,BUY PE,47.5,24119.80,60.55,24067.0,24146.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,09:32:41,24050,PE,BUY PE,44.6,24102.40,33.30,24052.0,24127.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,NO TRADE
EXIT,2026-04-28,09:26:41,24150,PE,BUY PE,47.0,24127.10,89.90,24077.0,24152.0,9.0,09:35:41,24092.85,80.00,TIMEOUT,9.0,0.14,-11.01,-644,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,09:27:41,24100,PE,BUY PE,47.5,24119.80,60.55,24067.0,24146.0,9.0,09:37:41,24111.45,62.55,TIMEOUT,10.0,0.03,3.30,130,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,09:32:41,24050,PE,BUY PE,44.6,24102.40,33.30,24052.0,24127.0,9.0,09:41:41,24121.45,37.85,TIMEOUT,9.0,-0.08,13.66,296,BUY PE,BUY PE,NO TRADE
OPEN,2026-04-28,09:42:41,24100,PE,BUY PE,42.6,24128.60,58.50,24079.0,24154.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,09:49:41,24050,PE,BUY PE,39.6,24123.15,21.40,24072.0,24149.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,09:42:41,24100,PE,BUY PE,42.6,24128.60,58.50,24079.0,24154.0,9.0,09:52:41,24118.30,41.70,TIMEOUT,10.0,0.04,-28.72,-1092,BUY PE,BUY PE,BUY PE
OPEN,2026-04-28,09:55:41,24100,PE,BUY PE,40.9,24135.70,46.70,24085.0,24161.0,9.0,,0.00,0.00,,0.0,0.00,0.00,0,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,09:49:41,24050,PE,BUY PE,39.6,24123.15,21.40,24072.0,24149.0,9.0,09:58:41,24144.35,19.55,TIMEOUT,9.0,-0.09,-8.64,-120,BUY PE,BUY PE,BUY PE
EXIT,2026-04-28,09:55:41,24100,PE,BUY PE,40.9,24135.70,46.70,24085.0,24161.0,9.0,10:01:41,24164.35,34.00,SL,6.0,-0.12,-27.19,-826,BUY PE,BUY PE,BUY PE
