Signal_ID,Date,Time,Timestamp,Signal,Prediction,Confidence,Confidence_Bucket,Spot,Strike,OptionType,Target_Nifty,SL_Nifty,Prob_Down,Prob_Side,Prob_Up,XGB_Down,XGB_Side,XGB_Up,LSTM_Down,LSTM_Side,LSTM_Up,Models_Agree,PCR,Equity_Ret,OI_Support,OI_Resistance,Dir_Score,Dir_Verdict,RSI_5m,ADX_5m,MACD_Hist_5m,EMA_Spread,Volatility,Prev_Signal,Signal_Duration_Min,Outcome,Actual_Move_5m,Actual_Move_15m,Actual_Move_30m,Max_Favorable,Max_Adverse,Time_To_Result_Min
1,2026-03-17,09:10:14,2026-03-17T09:10:14.168771,BUY CE,UP,42.6,LOW,23493.2,23550,CE,23594.0,23443.0,16.7,40.7,42.6,14.1,39.7,46.2,20.5,42.3,37.2,NO,1.02,0.041,23000,24000,21.2,BULLISH,70.3,35.9,-1.3,0.2474,0.215,,5.0,EXPIRED,-0.108,,,0,25.4,5.0
2,2026-03-17,09:15:13,2026-03-17T09:15:13.831950,BUY CE,UP,44.1,LOW,23467.8,23500,CE,23567.0,23418.0,17.6,38.3,44.1,15.5,35.5,48.9,20.7,42.4,36.8,NO,1.02,0.097,23000,24000,20.8,BULLISH,68.6,35.7,-2.921,0.2358,0.21,BUY CE,0.4,EXPIRED,,,,0,46.2,0.4
3,2026-03-17,09:15:39,2026-03-17T09:15:39.421680,BUY CE,UP,52.2,MED,23421.55,23400,CE,23516.0,23375.0,14.8,32.9,52.2,10.1,26.6,63.3,21.9,42.4,35.7,NO,1.02,0.025,23000,24000,20.8,BULLISH,64.8,35.1,-5.872,0.2148,0.201,BUY CE,18716.5,SL_HIT,-3.723,-3.723,-3.723,0,871.9,18716.5
4,2026-03-30,09:12:07,2026-03-30T09:12:07.813795,BUY PE,DOWN,61.2,HIGH,22549.65,22550,PE,22472.0,22589.0,61.2,21.3,17.5,74.3,11.4,14.3,41.4,36.2,22.4,YES,0.88,-0.783,22000,23000,-27.5,BEARISH,11.9,39.6,-17.819,-0.2475,0.172,BUY CE,14.0,EXPIRED,-0.041,-0.041,,9.2,0,14.0
5,2026-03-30,09:26:06,2026-03-30T09:26:06.531799,BUY CE,UP,43.3,LOW,22540.4,22600,CE,22621.0,22500.0,36.9,19.8,43.3,37.0,12.7,50.3,36.7,30.5,32.8,NO,1.0,-0.676,22500,23000,-9.6,MILDLY BEARISH,15.1,48.3,-33.032,-0.4472,0.179,BUY PE,3.4,EXPIRED,,,,9.3,0,3.4
6,2026-03-30,09:29:31,2026-03-30T09:29:31.003908,BUY CE,UP,59.4,HIGH,22549.7,22550,CE,22633.0,22508.0,24.4,16.2,59.4,17.0,7.7,75.3,35.4,29.0,35.6,YES,1.05,-0.497,22500,23000,1.9,SIDEWAYS / NEUTRAL,17.3,48.2,-32.585,-0.4439,0.185,BUY CE,0.4,EXPIRED,,,,33.2,0,0.4
7,2026-03-30,09:29:57,2026-03-30T09:29:57.319049,BUY CE,UP,59.4,HIGH,22582.9,22600,CE,22667.0,22541.0,23.6,17.0,59.4,13.0,11.7,75.3,39.5,24.9,35.6,NO,1.05,-0.497,22500,23000,1.9,SIDEWAYS / NEUTRAL,23.4,47.3,-29.595,-0.419,0.187,BUY CE,0.6,EXPIRED,,,,13.4,0,0.6
8,2026-03-30,09:30:35,2026-03-30T09:30:35.093293,BUY CE,UP,45.9,MED,22596.3,22600,CE,22682.0,22553.0,27.8,26.4,45.9,21.1,26.3,52.6,37.7,26.5,35.8,NO,1.05,-0.487,22500,23000,1.9,SIDEWAYS / NEUTRAL,25.4,45.9,-27.714,-0.4027,0.191,BUY CE,1.4,EXPIRED,,,,17.0,0,1.4
9,2026-03-30,09:31:57,2026-03-30T09:31:57.594623,BUY CE,UP,55.0,HIGH,22613.3,22600,CE,22699.0,22570.0,21.2,23.7,55.0,14.0,20.3,65.7,32.1,28.9,39.0,YES,1.08,-0.438,22500,23000,3.9,SIDEWAYS / NEUTRAL,29.0,46.5,-23.804,-0.402,0.191,BUY CE,38.4,EXPIRED,-0.075,-0.075,-0.075,0,16.9,38.4
10,2026-03-30,10:10:18,2026-03-30T10:10:18.545856,BUY PE,DOWN,38.5,LOW,22596.4,22550,PE,22502.0,22643.0,38.5,24.9,36.6,33.9,17.8,48.3,45.3,35.5,19.2,NO,1.22,-0.109,22500,23000,10.9,MILDLY BULLISH,33.7,37.4,-1.202,-0.2762,0.207,BUY CE,0.5,EXPIRED,,,,-0.0,0.0,0.5
